From, To
Boots, Boots of Speed
Relic, Sacred Relic
Flask, Healing Salve
Dust, Dust of Appearance
Ward Observer, Observer Ward
Ward Sentry, Sentry Ward
Ward Dispenser, Observer Ward
Ultimate Scepter, Aghanim's Scepter
Gem, Gem of True Sight
Blink, Blink Dagger
Infused Raindrop, Infused Raindrops
Gloves, Gloves of Haste
Eagle, Eaglesong
Branches, Iron Branch
Gauntlets, Gauntlets of Strength
Slippers, Slippers of Agility
Mantle, Mantle of Intelligence
Gauntlets, Gauntlets of Strength
Boots of Elves, Band of Elvenskin
Robe, Robe of the Magi
Sobi Mask, Sage's Mask
Lifesteal, Morbid Mask
Ghost, Ghost Scepter
Pers, Perseverance
Helm of The Dominator, Helm of the Dominator 1
Helm of The Dominator 2, Helm of the Dominator 2
Travel Boots, Boots of Travel
Travel Boots 2, Boots of Travel
Necronomicon 2, Necronomicon
Necronomicon 3, Necronomicon
Cyclone, Eul's Scepter of Divinity
Dagon 2, Dagon
Dagon 3, Dagon
Dagon 4, Dagon
Dagon 5, Dagon
Orchid, Orchid Malevolence
Refresher, Refresher Orb
Sheepstick, Scythe of Vyse
Gungir, Gleipnir
Lesser Crit, Crystalys
Greater Crit, Daedalus
Armlet, Armlet of Mordiggian
Basher, Skull Basher
Invis Sword, Shadow Blade
Bfury, Battle Fury
Rapier, Divine Rapier
Ancient Janggo, Drum of Endurance
Vladmir, Vladmir's Offering
Pipe, Pipe of Insight
Manta, Manta Style
Heart, Heart of Tarrasque
Shivas Guard, Shiva's Guard
Sphere, Linken's Sphere
Assault, Assault Cuirass
Heavens Halberd, Heaven's Halberd
Kaya And Sange, Kaya and Sange
Sange And Yasha, Sange and Yasha
Yasha And Kaya, Yasha and Kaya
Skadi, Eye of Skadi
Mysterious Hat, Fairy's Trinket
Pupils Gift, Pupil's Gift
Philosophers Stone, Philosopher's Stone
Illusionsts Cape, Illusionist's Cape
Lesser Crit, Crystalys
Spy Gadget, Telescope
Penta Edged Sword, Penta-Edged Sword
Desolator 2, Stygian Desolator
Demonicon, Book of the Dead
Giants Ring, Giant's Ring
